subfield_dom,autores,certificados,obras,obras_mediana,cobertura_pct,ci_low,ci_high,cobertura_hasta2023_pct,cobertura_2obras_pct
Orthodontics,636,87,1750,1.0,13.7,11.2,16.6,12.9,30.1
Physiology,964,132,1972,1.0,13.7,11.7,16.0,13.7,23.1
"Statistics, Probability and Uncertainty",184,25,281,1.0,13.6,9.4,19.3,15.9,
Computer Networks and Communications,725,98,1603,1.0,13.5,11.2,16.2,16.7,27.5
Waste Management and Disposal,579,78,857,1.0,13.5,10.9,16.5,14.6,30.1
Business and International Management,141,19,326,1.0,13.5,8.8,20.1,11.5,17.9
General Agricultural and Biological Sciences,2880,390,5811,1.0,13.5,12.3,14.8,14.5,23.8
Epidemiology,3195,432,8145,1.0,13.5,12.4,14.8,13.8,21.7
Rheumatology,689,92,2047,1.0,13.4,11.0,16.1,9.6,26.1
Oncology,1331,178,4537,1.0,13.4,11.6,15.3,13.2,21.5
Nuclear and High Energy Physics,218,29,890,1.0,13.3,9.4,18.5,9.8,10.3
Water Science and Technology,1732,231,3619,1.0,13.3,11.8,15.0,14.6,36.3
Architecture,75,10,195,1.0,13.3,7.4,22.8,16.3,16.7
Automotive Engineering,300,40,566,1.0,13.3,9.9,17.6,14.3,25.3
Control and Systems Engineering,894,118,2021,1.0,13.2,11.1,15.6,14.9,28.2
Clinical Biochemistry,70,9,115,1.0,12.9,6.9,22.7,9.6,
Music,70,9,95,1.0,12.9,6.9,22.7,5.6,
"Public Health, Environmental and Occupational Health",5075,654,13655,1.0,12.9,12.0,13.8,12.7,27.6
Building and Construction,1845,236,3988,1.0,12.8,11.3,14.4,14.8,25.2
Finance,267,34,476,1.0,12.7,9.3,17.3,12.0,19.3
Ocean Engineering,329,41,487,1.0,12.5,9.3,16.5,12.4,30.4
"Endocrinology, Diabetes and Metabolism",1143,143,3348,1.0,12.5,10.7,14.6,12.6,17.1
Civil and Structural Engineering,1712,210,4007,1.0,12.3,10.8,13.9,14.8,27.3
Immunology and Allergy,49,6,128,1.0,12.2,5.7,24.2,,
General Dentistry,469,57,1095,1.0,12.2,9.5,15.4,12.6,22.8
Anesthesiology and Pain Medicine,124,15,216,1.0,12.1,7.5,19.0,10.3,22.2
Geology,157,19,227,1.0,12.1,7.9,18.1,14.1,23.1
Forestry,552,67,982,1.0,12.1,9.7,15.1,10.6,26.1
Mechanical Engineering,799,95,1434,1.0,11.9,9.8,14.3,11.3,19.9
Emergency Medicine,503,60,1007,1.0,11.9,9.4,15.1,13.1,22.1
General Health Professions,7838,922,21342,1.0,11.8,11.1,12.5,12.4,24.3
Energy Engineering and Power Technology,68,8,137,1.0,11.8,6.1,21.5,13.3,
Mechanics of Materials,255,30,514,1.0,11.8,8.4,16.3,7.8,17.5
Radiological and Ultrasound Technology,255,30,398,1.0,11.8,8.4,16.3,10.0,33.3
Archeology,708,83,1578,1.0,11.7,9.6,14.3,12.9,21.5
Information Systems,5946,695,13838,1.0,11.7,10.9,12.5,13.3,27.4
Human Factors and Ergonomics,69,8,86,1.0,11.6,6.0,21.2,5.0,
Marketing,517,60,910,1.0,11.6,9.1,14.7,12.7,37.9
"Radiology, Nuclear Medicine and Imaging",813,94,1836,1.0,11.6,9.5,13.9,11.6,23.8
Biophysics,61,7,97,1.0,11.5,5.7,21.8,,
Health,1065,122,2185,1.0,11.5,9.7,13.5,10.6,21.2
Health Information Management,355,40,604,1.0,11.3,8.4,15.0,8.2,22.7
Developmental and Educational Psychology,1376,151,2677,1.0,11.0,9.4,12.7,11.9,19.5
"Renewable Energy, Sustainability and the Environment",1267,139,2124,1.0,11.0,9.4,12.8,11.8,31.0
Critical Care and Intensive Care Medicine,272,30,538,1.0,11.0,7.8,15.3,11.4,17.6
